case_id	sample_name	sample_type	n_ct	dataset_id
Pat01	Pat01_Meta_FFPE_ERR791893	FFPE	34	betge15
Pat01	Pat01_Meta_Frozen_ERR791883	Fresh Frozen	14	betge15
Pat03	Pat03_Meta_FFPE_ERR791895	FFPE	49	betge15
Pat03	Pat03_Meta_Frozen_ERR791884	Fresh Frozen	5	betge15
Pat04	Pat04_Meta_FFPE_ERR791896	FFPE	33	betge15
Pat04	Pat04_Meta_Frozen_ERR791891	Fresh Frozen	10	betge15
Pat08	Pat08_Meta_FFPE_ERR791901	FFPE	17	betge15
Pat08	Pat08_Meta_Frozen_ERR791886	Fresh Frozen	12	betge15
Pat09	Pat09_Meta_FFPE_ERR791902	FFPE	38	betge15
Pat09	Pat09_Meta_Frozen_ERR791887	Fresh Frozen	11	betge15
Pat10	Pat10_Meta_FFPE_ERR791903	FFPE	13	betge15
Pat10	Pat10_Meta_Frozen_ERR791888	Fresh Frozen	7	betge15
Pat11	Pat11_Meta_FFPE_ERR791905	FFPE	29	betge15
Pat11	Pat11_Meta_Frozen_ERR791889	Fresh Frozen	12	betge15
Pat12	Pat12_Meta_FFPE_ERR791907	FFPE	41	betge15
Pat12	Pat12_Meta_Frozen_ERR791911	Fresh Frozen	12	betge15
Pat13	Pat13_Meta_FFPE_ERR791908	FFPE	37	betge15
Pat13	Pat13_Meta_Frozen_ERR791890	Fresh Frozen	18	betge15
Pat14	Pat14_Meta_FFPE_ERR791909	FFPE	34	betge15
Pat14	Pat14_Meta_Frozen_ERR791885	Fresh Frozen	10	betge15
