sample_name	model	auroc	auprc
all-samples	gatk-obmm	0.65977011494253	0.215950948058259
all-samples	microsec	0.367816091954023	0.0306537308891672
all-samples	mobsnvf	0.799425287356319	0.253269376299461
all-samples	sobdetector	0.235057471264368	0.0240789815857282
all-samples	vafsnvf	0.789080459770112	0.227860196558727
Pat01_Meta_FFPE_ERR791893	gatk-obmm	0.484848484848485	0.0270647837875888
Pat01_Meta_FFPE_ERR791893	microsec	0.515151515151515	0.03030303030303
Pat01_Meta_FFPE_ERR791893	mobsnvf	0.46969696969697	0.0257163391238155
Pat01_Meta_FFPE_ERR791893	sobdetector	0.0909090909090908	0.0158339012613713
Pat01_Meta_FFPE_ERR791893	vafsnvf	0.46969696969697	0.0257163391238155
Pat10_Meta_FFPE_ERR791903	gatk-obmm	0.958333333333333	0.5
Pat10_Meta_FFPE_ERR791903	microsec	0.625	0.100000000000002
Pat10_Meta_FFPE_ERR791903	mobsnvf	0.833333333333333	0.189069760635524
Pat10_Meta_FFPE_ERR791903	sobdetector	0.333333333333333	0.0577357125627184
Pat10_Meta_FFPE_ERR791903	vafsnvf	0.666666666666667	0.107425787243161
Pat11_Meta_FFPE_ERR791905	gatk-obmm	0.5	0.0344827586206895
Pat11_Meta_FFPE_ERR791905	microsec	0.0892857142857144	0.0185711896783442
Pat11_Meta_FFPE_ERR791905	mobsnvf	1	1
Pat11_Meta_FFPE_ERR791905	sobdetector	0.178571428571429	0.0211288680720515
Pat11_Meta_FFPE_ERR791905	vafsnvf	1	1
Pat12_Meta_FFPE_ERR791907	gatk-obmm	0.749999999999998	0.557765534423738
Pat12_Meta_FFPE_ERR791907	microsec	0.262820512820513	0.0315223172768051
Pat12_Meta_FFPE_ERR791907	mobsnvf	0.974358974358974	0.450693707517863
Pat12_Meta_FFPE_ERR791907	sobdetector	0.128205128205128	0.0271942906876278
Pat12_Meta_FFPE_ERR791907	vafsnvf	0.980769230769231	0.547267422797773
Pat14_Meta_FFPE_ERR791909	gatk-obmm	0.5	0.029411764705882
Pat14_Meta_FFPE_ERR791909	microsec	0.5	0.029411764705882
Pat14_Meta_FFPE_ERR791909	mobsnvf	0.454545454545454	0.024679218665953
Pat14_Meta_FFPE_ERR791909	sobdetector	0.621212121212121	0.0384615384615384
Pat14_Meta_FFPE_ERR791909	vafsnvf	0.454545454545454	0.024679218665953
