case_id	sample_name	sample_type	n_ct	dataset_id
01	BGI-FFPE1_SRR1523243	FFPE	119580	ENA SRP044740
01	BGI-FFPE1_SRR1523257	FFPE	122236	ENA SRP044740
01	BGI-FFPE1_SRR1523263	FFPE	40398	ENA SRP044740
01	BGI-FROZ1_SRR1523230	Fresh Frozen	41919	ENA SRP044740
02	BGI-FFPE2_SRR1523244	FFPE	156922	ENA SRP044740
02	BGI-FFPE2_SRR1523264	FFPE	100957	ENA SRP044740
02	BGI-FROZ2_SRR1523231	Fresh Frozen	37357	ENA SRP044740
03	BGI-FFPE3_SRR1523251	FFPE	153800	ENA SRP044740
03	BGI-FFPE3_SRR1523269	FFPE	106740	ENA SRP044740
03	BGI-FROZ3_SRR1523240	Fresh Frozen	44067	ENA SRP044740
04	BGI-FFPE4_SRR1523253	FFPE	73709	ENA SRP044740
04	BGI-FFPE4_SRR1523268	FFPE	188948	ENA SRP044740
04	BGI-FROZ4_SRR1523239	Fresh Frozen	39576	ENA SRP044740
05	BGI-FFPE5_SRR1523252	FFPE	220530	ENA SRP044740
05	BGI-FFPE5_SRR1523261	FFPE	225441	ENA SRP044740
05	BGI-FROZ5_SRR1523238	Fresh Frozen	52125	ENA SRP044740
06	BGI-FFPE6_SRR1523256	FFPE	180872	ENA SRP044740
06	BGI-FFPE6_SRR1523254	FFPE	174258	ENA SRP044740
06	BGI-FROZ6_SRR1523242	Fresh Frozen	44106	ENA SRP044740
07	BGI-FFPE7_SRR1523247	FFPE	147347	ENA SRP044740
07	BGI-FFPE7_SRR1523266	FFPE	252996	ENA SRP044740
07	BGI-FROZ7_SRR1523234	Fresh Frozen	32873	ENA SRP044740
08	BGI-FFPE8_SRR1523245	FFPE	114608	ENA SRP044740
08	BGI-FFPE8_SRR1523262	FFPE	117002	ENA SRP044740
08	BGI-FROZ8_SRR1523232	Fresh Frozen	37462	ENA SRP044740
09	BGI-FFPE9_SRR1523255	FFPE	109231	ENA SRP044740
09	BGI-FROZ9_SRR1523241	Fresh Frozen	45128	ENA SRP044740
10	BGI-FFPE10_SRR1523246	FFPE	109147	ENA SRP044740
10	BGI-FFPE10_SRR1523260	FFPE	117146	ENA SRP044740
10	BGI-FFPE10_SRR1523265	FFPE	126399	ENA SRP044740
10	BGI-FROZ10_SRR1523233	Fresh Frozen	26658	ENA SRP044740
11	BGI-FFPE11_SRR1523258	FFPE	112836	ENA SRP044740
11	BGI-FFPE11_SRR1523250	FFPE	120519	ENA SRP044740
11	BGI-FROZ11_SRR1523236	Fresh Frozen	38525	ENA SRP044740
12	BGI-FFPE12_SRR1523248	FFPE	84414	ENA SRP044740
12	BGI-FFPE12_SRR1523259	FFPE	72266	ENA SRP044740
12	BGI-FROZ12_SRR1523235	Fresh Frozen	33913	ENA SRP044740
13	BGI-FFPE13_SRR1523267	FFPE	398293	ENA SRP044740
13	BGI-FFPE13_SRR1523249	FFPE	178746	ENA SRP044740
13	BGI-FROZ13_SRR1523237	Fresh Frozen	45755	ENA SRP044740
