sample_name	model	auroc	auprc
all-ffpe-wgs-samples	gatk-obmm	0.52113517492194	0.965964772363034
all-ffpe-wgs-samples	mobsnvf	0.679284103486154	0.975857509921751
all-ffpe-wgs-samples	sobdetector	0.663255648116708	0.972377817873356
all-ffpe-wgs-samples	vafsnvf	0.890158497551905	0.993840637906262
FFG_GZ_T_1h-A	gatk-obmm	0.517455739873286	0.965412945973918
FFG_GZ_T_1h-A	mobsnvf	0.636355262021214	0.973721846527975
FFG_GZ_T_1h-A	sobdetector	0.649740889519007	0.973315234403249
FFG_GZ_T_1h-A	vafsnvf	0.894922336029307	0.99461828534765
FFG_GZ_T_1h-B	gatk-obmm	0.501711555857739	0.970859418215664
FFG_GZ_T_1h-B	mobsnvf	0.697765051878608	0.982339766415425
FFG_GZ_T_1h-B	sobdetector	0.664982491756535	0.978552363021853
FFG_GZ_T_1h-B	vafsnvf	0.872515648547078	0.994709550371248
FFG_GZ_T_1h-E	gatk-obmm	0.502289584966619	0.971206428459169
FFG_GZ_T_1h-E	mobsnvf	0.609601602572702	0.977281458045099
FFG_GZ_T_1h-E	sobdetector	0.630273264133373	0.976906495525105
FFG_GZ_T_1h-E	vafsnvf	0.874423893465287	0.994453081548291
FFG_GZ_T_24h-F	gatk-obmm	0.501932911979235	0.967433255817328
FFG_GZ_T_24h-F	mobsnvf	0.636549318977441	0.976063362397563
FFG_GZ_T_24h-F	sobdetector	0.629230198814051	0.973724152117159
FFG_GZ_T_24h-F	vafsnvf	0.892560981364992	0.995022735980991
FFG_GZ_T_2h-A	gatk-obmm	0.577792217852189	0.941023669348758
FFG_GZ_T_2h-A	mobsnvf	0.781236196929621	0.968864193817442
FFG_GZ_T_2h-A	sobdetector	0.733641683581984	0.956514586086868
FFG_GZ_T_2h-A	vafsnvf	0.930635425664017	0.992679709073951
FFG_GZ_T_2h-B	gatk-obmm	0.502558100821068	0.968399360094987
FFG_GZ_T_2h-B	mobsnvf	0.642465437562235	0.97709857246377
FFG_GZ_T_2h-B	sobdetector	0.660049588353706	0.97677919451362
FFG_GZ_T_2h-B	vafsnvf	0.872246718557028	0.99380152888261
FFG_GZ_T_6h-A	gatk-obmm	0.524475297822279	0.962219821474777
FFG_GZ_T_6h-A	mobsnvf	0.695068600886265	0.975585038837133
FFG_GZ_T_6h-A	sobdetector	0.649709456102745	0.969695691009086
FFG_GZ_T_6h-A	vafsnvf	0.88810813698146	0.993311002261912
FFG_GZ_T_6h-B	gatk-obmm	0.505254643380416	0.967992289655177
FFG_GZ_T_6h-B	mobsnvf	0.607777186279502	0.974463329045016
FFG_GZ_T_6h-B	sobdetector	0.634264909163721	0.973868681044926
FFG_GZ_T_6h-B	vafsnvf	0.878318516079713	0.994412184518313
FFG_IL_T_1h	gatk-obmm	0.510091736256275	0.970100915558323
FFG_IL_T_1h	vafsnvf	0.856762853078644	0.990576448654389
FFG_IL_T_24h	gatk-obmm	0.511917374414565	0.969605323442409
FFG_IL_T_24h	vafsnvf	0.853341813093629	0.990918045385572
FFG_IL_T_2h	gatk-obmm	0.512240004349976	0.967154630999089
FFG_IL_T_2h	mobsnvf	0.672313190995814	0.977817809783444
FFG_IL_T_2h	sobdetector	0.640082738246274	0.973638737343834
FFG_IL_T_2h	vafsnvf	0.8772145093783	0.993787914061842
FFG_IL_T_6h	gatk-obmm	0.505285722851983	0.97197431000563
FFG_IL_T_6h	vafsnvf	0.829545078166403	0.979784435655729
