sample_name	model	auroc	auprc
all-ffpe-wgs-samples	gatk-obmm	0.530715116334625	0.979378834885451
all-ffpe-wgs-samples	mobsnvf	0.739131632068587	0.987922761035985
all-ffpe-wgs-samples	sobdetector	0.711630352584184	0.984715223434965
all-ffpe-wgs-samples	vafsnvf	0.91561208702764	0.997329190700427
FFG_GZ_T_1h-A	gatk-obmm	0.523010728793632	0.978301513737919
FFG_GZ_T_1h-A	mobsnvf	0.704013114131873	0.986662975735599
FFG_GZ_T_1h-A	sobdetector	0.70188711962398	0.985233008720468
FFG_GZ_T_1h-A	vafsnvf	0.913992999512158	0.997402514875487
FFG_GZ_T_1h-B	gatk-obmm	0.500881444972535	0.982281701017187
FFG_GZ_T_1h-B	mobsnvf	0.744610357843275	0.991174963985163
FFG_GZ_T_1h-B	sobdetector	0.712367930713398	0.988697372356654
FFG_GZ_T_1h-B	vafsnvf	0.902314591931972	0.997870682755903
FFG_GZ_T_1h-E	gatk-obmm	0.501974062715074	0.983659560813123
FFG_GZ_T_1h-E	mobsnvf	0.649043540152452	0.988655287184834
FFG_GZ_T_1h-E	sobdetector	0.667947112210481	0.988475632187994
FFG_GZ_T_1h-E	vafsnvf	0.889298553171811	0.997392523783648
FFG_GZ_T_24h-F	gatk-obmm	0.501621447774621	0.981093469650209
FFG_GZ_T_24h-F	mobsnvf	0.668940315008513	0.98769971318503
FFG_GZ_T_24h-F	sobdetector	0.655561116917094	0.9861504426251
FFG_GZ_T_24h-F	vafsnvf	0.906903595555791	0.997798304819531
FFG_GZ_T_2h-A	gatk-obmm	0.601717526895891	0.958194538237381
FFG_GZ_T_2h-A	mobsnvf	0.8467226789196	0.983906136692042
FFG_GZ_T_2h-A	sobdetector	0.787120832493472	0.972179027758586
FFG_GZ_T_2h-A	vafsnvf	0.953983224719303	0.996804875276035
FFG_GZ_T_2h-B	gatk-obmm	0.502603062563525	0.981574867656147
FFG_GZ_T_2h-B	mobsnvf	0.683553782795134	0.988455246145777
FFG_GZ_T_2h-B	sobdetector	0.715132137287792	0.988526923989514
FFG_GZ_T_2h-B	vafsnvf	0.898262310480367	0.997497514197035
FFG_GZ_T_6h-A	gatk-obmm	0.534702587106944	0.977059219234826
FFG_GZ_T_6h-A	mobsnvf	0.756104678782282	0.98814392959327
FFG_GZ_T_6h-A	sobdetector	0.698350145415623	0.982805276890944
FFG_GZ_T_6h-A	vafsnvf	0.914759753052347	0.997236616604487
FFG_GZ_T_6h-B	gatk-obmm	0.50371870881409	0.982416354388045
FFG_GZ_T_6h-B	mobsnvf	0.637360715353056	0.987400441194741
FFG_GZ_T_6h-B	sobdetector	0.65062359959878	0.986259318384713
FFG_GZ_T_6h-B	vafsnvf	0.891233000623831	0.997503500597344
FFG_IL_T_1h	gatk-obmm	0.513906626439481	0.983225564336541
FFG_IL_T_1h	vafsnvf	0.838692595262692	0.990241190161676
FFG_IL_T_24h	gatk-obmm	0.513995091592422	0.982039384178116
FFG_IL_T_24h	vafsnvf	0.905923204129986	0.997108381479073
FFG_IL_T_2h	gatk-obmm	0.516616236516545	0.980705348913428
FFG_IL_T_2h	mobsnvf	0.731729239171778	0.98947638757884
FFG_IL_T_2h	sobdetector	0.674775953108775	0.985395675164921
FFG_IL_T_2h	vafsnvf	0.906145529379548	0.997486121323175
FFG_IL_T_6h	gatk-obmm	0.502784627761937	0.983485498362695
FFG_IL_T_6h	vafsnvf	0.839063659985155	0.988109906666027
