sample_name	model	auroc	auprc
all-ffpe-wes-samples	gatk-obmm	0.498773183256536	0.792804037156008
all-ffpe-wes-samples	mobsnvf	0.892533624864305	0.957719791125768
all-ffpe-wes-samples	sobdetector	0.839107027748815	0.915369778716111
all-ffpe-wes-samples	vafsnvf	0.728002427523216	0.88160210794303
FFX_GZ_T_1h_1	gatk-obmm	0.499999999999997	0.904424778761065
FFX_GZ_T_1h_1	mobsnvf	0.840762484598105	0.973780339386761
FFX_GZ_T_1h_1	sobdetector	0.800880626223091	0.950674559155645
FFX_GZ_T_1h_1	vafsnvf	0.492733927665434	0.889882366849503
FFX_GZ_T_1h_3	gatk-obmm	0.499999999999998	0.885964912280698
FFX_GZ_T_1h_3	mobsnvf	0.884276889227386	0.973742411060499
FFX_GZ_T_1h_3	sobdetector	0.812029279851063	0.943122867566667
FFX_GZ_T_1h_3	vafsnvf	0.478395865902379	0.872365319536887
FFX_GZ_T_24h_1	gatk-obmm	0.500000000000004	0.855153203342619
FFX_GZ_T_24h_1	mobsnvf	0.892241919318469	0.972161506386899
FFX_GZ_T_24h_1	sobdetector	0.860381170132796	0.943420701447432
FFX_GZ_T_24h_1	vafsnvf	0.480330744174392	0.832463846519439
FFX_GZ_T_24h_2	gatk-obmm	0.500000000000001	0.897058823529414
FFX_GZ_T_24h_2	mobsnvf	0.876297452800183	0.977916027147975
FFX_GZ_T_24h_2	sobdetector	0.846936710324686	0.961751602422219
FFX_GZ_T_24h_2	vafsnvf	0.595874172376903	0.900448784438294
FFX_GZ_T_6h_3	gatk-obmm	0.499999999999997	0.901800327332238
FFX_GZ_T_6h_3	mobsnvf	0.872005444646098	0.977591355859057
FFX_GZ_T_6h_3	sobdetector	0.821536600120992	0.951702156333961
FFX_GZ_T_6h_3	vafsnvf	0.462870538415004	0.878250269131078
FFX_IL_T_1h_1	gatk-obmm	0.493815557412039	0.830864208040922
FFX_IL_T_1h_1	mobsnvf	0.915057705993378	0.971257648415243
FFX_IL_T_1h_1	sobdetector	0.796172530090656	0.905372223912499
FFX_IL_T_1h_1	vafsnvf	0.753848355456542	0.927885936612103
FFX_IL_T_24h_1	gatk-obmm	0.500000000000006	0.699718309859158
FFX_IL_T_24h_1	mobsnvf	0.91604731822123	0.941908727741669
FFX_IL_T_24h_1	sobdetector	0.843928723568177	0.877513367075377
FFX_IL_T_24h_1	vafsnvf	0.801686138377549	0.888212142552291
FFX_IL_T_2h_1	gatk-obmm	0.499512670565284	0.645059894816875
FFX_IL_T_2h_1	mobsnvf	0.914424432831487	0.932000142903816
FFX_IL_T_2h_1	sobdetector	0.858758277687927	0.85938949302501
FFX_IL_T_2h_1	vafsnvf	0.760176890216084	0.810984054201392
FFX_IL_T_6h_1	gatk-obmm	0.499145299145293	0.826025669791148
FFX_IL_T_6h_1	mobsnvf	0.901452296574251	0.964679210178317
FFX_IL_T_6h_1	sobdetector	0.795512820512815	0.910303828330546
FFX_IL_T_6h_1	vafsnvf	0.79496212910847	0.938276994149328
