case_id	ffpe_sample_name	matched_ff_sample_name	sample_type	n_ct	dataset_id
011b9b2d-ebe5-42bf-9662-d922faccc7a1	93eca453-294b-4400-8b41-c4455ddc7e45	b78da977-c9b9-4817-aabe-e5da6a0f9389;0d278c5f-8f8f-4c1d-8198-743626087b24;ae099563-512c-4b20-bc9c-740b915ad00f;54c238e9-f9d7-4804-8b85-661bad77f0fa	FFPE	297	TCGA
011b9b2d-ebe5-42bf-9662-d922faccc7a1	39329506-f3bf-4af7-9372-01a2f0ea9499	b78da977-c9b9-4817-aabe-e5da6a0f9389;0d278c5f-8f8f-4c1d-8198-743626087b24;ae099563-512c-4b20-bc9c-740b915ad00f;54c238e9-f9d7-4804-8b85-661bad77f0fa	FFPE	239	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	cf1f5ad2-bc10-4021-a904-e190649ac4e9	65456253-6d46-44b7-97c5-b7f7d99beb4c;45154d62-6c98-435b-a72a-11ff271c0d6b;11becd8c-6d52-49aa-8b8c-b63c69cf9590;078c26d1-367d-49a5-bb89-218f4242535b;f74c70c6-74be-4552-bced-5f1097b555f7;06951c74-a5f6-4fb5-bd30-357362bc1372;82871a7e-3141-4e82-b54d-9013c83daec1;5c59cbf5-fd6d-491f-8244-ebb35dd217fa	FFPE	30	TCGA
0c0b610e-fe4c-406d-a5ed-5cc3b11dabf5	25e9d6ab-d5f8-4dd9-82ee-0a8dff2eb64e	65456253-6d46-44b7-97c5-b7f7d99beb4c;45154d62-6c98-435b-a72a-11ff271c0d6b;11becd8c-6d52-49aa-8b8c-b63c69cf9590;078c26d1-367d-49a5-bb89-218f4242535b;f74c70c6-74be-4552-bced-5f1097b555f7;06951c74-a5f6-4fb5-bd30-357362bc1372;82871a7e-3141-4e82-b54d-9013c83daec1;5c59cbf5-fd6d-491f-8244-ebb35dd217fa	FFPE	34	TCGA
30f276a8-3a4b-4de8-aea0-7f605d100401	316d70cd-20a9-4d0b-be96-d14d9ad1dd17	361093cc-8fad-4dd0-81ea-ea15f91f0992	FFPE	196	TCGA
3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a	d68761a5-54a7-439c-94d2-44cfc901d911	b3320ef0-f600-4d98-a8b5-6525d665d2e2	FFPE	381	TCGA
418a004e-d5a9-461b-8764-4b581b6b8223	7d78c513-dd57-4d60-9556-b154601fd0dd	bd0a2712-56bc-496c-a479-eea33466d868	FFPE	227	TCGA
418a004e-d5a9-461b-8764-4b581b6b8223	8f5d10af-16c4-4ab2-be3c-c1b9a243c686	bd0a2712-56bc-496c-a479-eea33466d868	FFPE	153	TCGA
49929108-023e-4d35-b26d-50ab4d3ae581	49ce0762-2ab2-49de-b611-ded7efe00a21	1c695c0e-2b12-432b-b2c8-a54091bad11f;680a62d1-23c6-4fe6-b891-69fddb3dec63	FFPE	201	TCGA
49929108-023e-4d35-b26d-50ab4d3ae581	52c3ea1f-80df-4644-9761-8e963e353e31	1c695c0e-2b12-432b-b2c8-a54091bad11f;680a62d1-23c6-4fe6-b891-69fddb3dec63	FFPE	207	TCGA
