sample_name	model	auroc	auprc	short_name
all-samples	ffpolish	0.908052336095207	0.460800725557014	
all-samples	gatk-obmm	0.712531829705478	0.00542969045275135	
all-samples	ideafix	0.762391687809292	0.044676050134407	
all-samples	mobsnvf	0.950234566993741	0.44246473947003	
all-samples	sobdetector	0.76385869840342	0.00661205808754733	
all-samples	vafsnvf	0.93321969093976	0.412535882374227	
BGI-FFPE1_SRR1523243	ffpolish	0.860115411681785	0.414413508397105	ENA_SRP044740_06
BGI-FFPE1_SRR1523243	gatk-obmm	0.517289232934542	0.00488348740726296	ENA_SRP044740_06
BGI-FFPE1_SRR1523243	ideafix	0.618482560230155	0.0122284141313401	ENA_SRP044740_06
BGI-FFPE1_SRR1523243	mobsnvf	0.937275158339249	0.496005002067581	ENA_SRP044740_06
BGI-FFPE1_SRR1523243	sobdetector	0.837477832512217	0.0178741840134079	ENA_SRP044740_06
BGI-FFPE1_SRR1523243	vafsnvf	0.837286418015471	0.371412774430812	ENA_SRP044740_06
BGI-FFPE1_SRR1523263	ffpolish	0.483429394812676	0.00131449583074398	ENA_SRP044740_07
BGI-FFPE1_SRR1523263	gatk-obmm	0.500000000000007	0.00143884892086333	ENA_SRP044740_07
BGI-FFPE1_SRR1523263	mobsnvf	0.984870317002882	0.0454545454545449	ENA_SRP044740_07
BGI-FFPE1_SRR1523263	sobdetector	0.835734870317003	0.00431180229637401	ENA_SRP044740_07
BGI-FFPE1_SRR1523263	vafsnvf	0.987031700288184	0.051755357320304	ENA_SRP044740_07
BGI-FFPE10_SRR1523246	ffpolish	0.920007230077248	0.5550626740368	ENA_SRP044740_01
BGI-FFPE10_SRR1523246	gatk-obmm	0.552257390745476	0.00572005430152018	ENA_SRP044740_01
BGI-FFPE10_SRR1523246	ideafix	0.961963775023832	0.0117381276352187	ENA_SRP044740_01
BGI-FFPE10_SRR1523246	mobsnvf	0.965727426092517	0.584820524799967	ENA_SRP044740_01
BGI-FFPE10_SRR1523246	sobdetector	0.833359274582205	0.0161016051014643	ENA_SRP044740_01
BGI-FFPE10_SRR1523246	vafsnvf	0.964281410668351	0.605226470580817	ENA_SRP044740_01
BGI-FFPE10_SRR1523265	ffpolish	0.983446737993049	0.609213709234784	ENA_SRP044740_02
BGI-FFPE10_SRR1523265	gatk-obmm	0.682447729494452	0.00684773314749568	ENA_SRP044740_02
BGI-FFPE10_SRR1523265	ideafix	0.950454059829222	0.17608178562242	ENA_SRP044740_02
BGI-FFPE10_SRR1523265	mobsnvf	0.99602548334688	0.573893611454132	ENA_SRP044740_02
BGI-FFPE10_SRR1523265	sobdetector	0.74443741819732	0.0082010648898147	ENA_SRP044740_02
BGI-FFPE10_SRR1523265	vafsnvf	0.991126997997579	0.607443330086027	ENA_SRP044740_02
BGI-FFPE11_SRR1523258	ffpolish	0.822816302835504	0.472909652540928	ENA_SRP044740_03
BGI-FFPE11_SRR1523258	gatk-obmm	0.766998089247784	0.00391771163256583	ENA_SRP044740_03
BGI-FFPE11_SRR1523258	ideafix	0.553398134914691	0.00328542198917595	ENA_SRP044740_03
BGI-FFPE11_SRR1523258	mobsnvf	0.907137703827775	0.483690292031828	ENA_SRP044740_03
BGI-FFPE11_SRR1523258	sobdetector	0.770418843741056	0.00407348328435558	ENA_SRP044740_03
BGI-FFPE11_SRR1523258	vafsnvf	0.892936415338295	0.445986637645598	ENA_SRP044740_03
BGI-FFPE12_SRR1523248	ffpolish	0.937090557663613	0.650208638801649	ENA_SRP044740_04
BGI-FFPE12_SRR1523248	gatk-obmm	0.795487969318482	0.0108097446053914	ENA_SRP044740_04
BGI-FFPE12_SRR1523248	ideafix	0.793349553933488	0.0847406076430172	ENA_SRP044740_04
BGI-FFPE12_SRR1523248	mobsnvf	0.969846369064804	0.525055429124061	ENA_SRP044740_04
BGI-FFPE12_SRR1523248	sobdetector	0.735301882219793	0.00770649716848058	ENA_SRP044740_04
BGI-FFPE12_SRR1523248	vafsnvf	0.955652792473714	0.619872690526742	ENA_SRP044740_04
BGI-FFPE12_SRR1523259	ffpolish	0.910726783242209	0.585972804792973	ENA_SRP044740_05
BGI-FFPE12_SRR1523259	gatk-obmm	0.787342978140876	0.00957819409020995	ENA_SRP044740_05
BGI-FFPE12_SRR1523259	ideafix	0.865680873683217	0.0958247363829178	ENA_SRP044740_05
BGI-FFPE12_SRR1523259	mobsnvf	0.962120631612439	0.479407603096333	ENA_SRP044740_05
BGI-FFPE12_SRR1523259	sobdetector	0.71534748722466	0.00699610618001489	ENA_SRP044740_05
BGI-FFPE12_SRR1523259	vafsnvf	0.963702557134177	0.571815494136199	ENA_SRP044740_05
BGI-FFPE2_SRR1523264	ffpolish	0.803124072425034	0.16968813154368	ENA_SRP044740_08
BGI-FFPE2_SRR1523264	gatk-obmm	0.500845948352663	0.001602992252204	ENA_SRP044740_08
BGI-FFPE2_SRR1523264	ideafix	0.399355314054157	0.000553657597227695	ENA_SRP044740_08
BGI-FFPE2_SRR1523264	mobsnvf	0.903997229642762	0.221192918638615	ENA_SRP044740_08
BGI-FFPE2_SRR1523264	sobdetector	0.798830018798752	0.00421476482695139	ENA_SRP044740_08
BGI-FFPE2_SRR1523264	vafsnvf	0.808402592262792	0.258761570895208	ENA_SRP044740_08
BGI-FFPE3_SRR1523269	ffpolish	0.890729817256494	0.301617163959463	ENA_SRP044740_09
BGI-FFPE3_SRR1523269	gatk-obmm	0.504395095998171	0.00556973775818081	ENA_SRP044740_09
BGI-FFPE3_SRR1523269	ideafix	0.654476190476188	0.0437916623053603	ENA_SRP044740_09
BGI-FFPE3_SRR1523269	mobsnvf	0.949519045416028	0.354545814520026	ENA_SRP044740_09
BGI-FFPE3_SRR1523269	sobdetector	0.798987007479332	0.015370287251508	ENA_SRP044740_09
BGI-FFPE3_SRR1523269	vafsnvf	0.881491441128843	0.234774858884081	ENA_SRP044740_09
BGI-FFPE4_SRR1523253	ffpolish	0.486466165413537	0.00138841772172075	ENA_SRP044740_10
BGI-FFPE4_SRR1523253	gatk-obmm	0.500000000000001	0.0015015015015015	ENA_SRP044740_10
BGI-FFPE4_SRR1523253	ideafix	0.153846153846154	0.00100874266191669	ENA_SRP044740_10
BGI-FFPE4_SRR1523253	mobsnvf	0.0706766917293233	0.00080818977207033	ENA_SRP044740_10
BGI-FFPE4_SRR1523253	sobdetector	0.978195488721805	0.0333333333333334	ENA_SRP044740_10
BGI-FFPE4_SRR1523253	vafsnvf	0.267669172932329	0.00099143648005858	ENA_SRP044740_10
BGI-FFPE4_SRR1523268	ffpolish	0.924215649505236	0.357457059145723	ENA_SRP044740_11
BGI-FFPE4_SRR1523268	gatk-obmm	0.523303266652825	0.00186685471480269	ENA_SRP044740_11
BGI-FFPE4_SRR1523268	ideafix	0.77415912667196	0.00674982630018264	ENA_SRP044740_11
BGI-FFPE4_SRR1523268	mobsnvf	0.860990335861182	0.13814514468135	ENA_SRP044740_11
BGI-FFPE4_SRR1523268	sobdetector	0.751047778265181	0.0036853372177872	ENA_SRP044740_11
BGI-FFPE4_SRR1523268	vafsnvf	0.911917232933075	0.32533699549747	ENA_SRP044740_11
BGI-FFPE8_SRR1523245	ffpolish	0.817404541418292	0.257491978347057	ENA_SRP044740_12
BGI-FFPE8_SRR1523245	gatk-obmm	0.772539642268293	0.00748202952681644	ENA_SRP044740_12
BGI-FFPE8_SRR1523245	ideafix	0.590990990990993	0.00478003884005391	ENA_SRP044740_12
