sample_name	model	auroc	auprc	short_name
all-samples	ffpolish	0.620503597122301	0.067153864975527	
all-samples	gatk-obmm	0.613853503184717	0.0467282312225	
all-samples	mobsnvf	0.574044585987263	0.0146751494773347	
all-samples	sobdetector	0.610270700636941	0.061707711918337	
all-samples	vafsnvf	0.567675159235674	0.0717298003048417	
Pat01_Meta_FFPE_ERR791893	ffpolish	0.484848484848485	0.0270647837875888	ENA_betge15_01
Pat01_Meta_FFPE_ERR791893	gatk-obmm	0.484848484848485	0.0270647837875888	ENA_betge15_01
Pat01_Meta_FFPE_ERR791893	mobsnvf	0.606060606060606	0.03659636111857	ENA_betge15_01
Pat01_Meta_FFPE_ERR791893	sobdetector	0.484848484848485	0.0270647837875888	ENA_betge15_01
Pat01_Meta_FFPE_ERR791893	vafsnvf	0.0303030303030303	0.015306922508445	ENA_betge15_01
Pat10_Meta_FFPE_ERR791903	ffpolish	1.0	1.0	ENA_betge15_02
Pat10_Meta_FFPE_ERR791903	gatk-obmm	0.954545454545455	0.5	ENA_betge15_02
Pat10_Meta_FFPE_ERR791903	mobsnvf	0.818181818181818	0.200000000000003	ENA_betge15_02
Pat10_Meta_FFPE_ERR791903	sobdetector	1.0	1.0	ENA_betge15_02
Pat10_Meta_FFPE_ERR791903	vafsnvf	1.0	1.0	ENA_betge15_02
Pat12_Meta_FFPE_ERR791907	ffpolish	0.5	0.0256410256410262	ENA_betge15_03
Pat12_Meta_FFPE_ERR791907	gatk-obmm	0.5	0.0256410256410262	ENA_betge15_03
Pat12_Meta_FFPE_ERR791907	mobsnvf	0.539473684210526	0.0277777777777783	ENA_betge15_03
Pat12_Meta_FFPE_ERR791907	sobdetector	0.486842105263158	0.0237786144279664	ENA_betge15_03
Pat12_Meta_FFPE_ERR791907	vafsnvf	1.0	1.0	ENA_betge15_03
Pat14_Meta_FFPE_ERR791909	ffpolish	0.5	0.029411764705882	ENA_betge15_04
Pat14_Meta_FFPE_ERR791909	gatk-obmm	0.5	0.029411764705882	ENA_betge15_04
Pat14_Meta_FFPE_ERR791909	mobsnvf	0.303030303030303	0.0211288680720515	ENA_betge15_04
Pat14_Meta_FFPE_ERR791909	sobdetector	0.484848484848485	0.0270647837875888	ENA_betge15_04
Pat14_Meta_FFPE_ERR791909	vafsnvf	0.363636363636364	0.0230796713146985	ENA_betge15_04
