sample_name	model	auroc	auprc	short_name
all-samples	ffpolish	0.921790026069014	0.183609793202769	
all-samples	gatk-obmm	0.546795344683911	0.00421088199921859	
all-samples	ideafix	0.829494287061854	0.11628759136884	
all-samples	mobsnvf	0.958926571472656	0.217198419601389	
all-samples	sobdetector	0.659449946707848	0.00553040004398965	
all-samples	vafsnvf	0.847947539485887	0.0880325726725	
T1_FFPE	ffpolish	0.998324571032411	0.870845701213057	ENA_oh15_01
T1_FFPE	gatk-obmm	0.591113105924589	0.0103204780010862	ENA_oh15_01
T1_FFPE	ideafix	0.998510271287439	0.739623558086791	ENA_oh15_01
T1_FFPE	mobsnvf	0.997307001795332	0.612903225806438	ENA_oh15_01
T1_FFPE	sobdetector	0.780142681659266	0.0178852466591455	ENA_oh15_01
T1_FFPE	vafsnvf	0.999456675800813	0.945254414843594	ENA_oh15_01
T2_FFPE	ffpolish	0.884567325361292	0.217562246238775	ENA_oh15_02
T2_FFPE	gatk-obmm	0.5179501633463	0.0117965695606034	ENA_oh15_02
T2_FFPE	ideafix	0.768145068278289	0.0611401686921808	ENA_oh15_02
T2_FFPE	mobsnvf	0.929262699378576	0.443023419945577	ENA_oh15_02
T2_FFPE	sobdetector	0.634109281916583	0.0152245121971123	ENA_oh15_02
T2_FFPE	vafsnvf	0.70332457882261	0.0211855861622486	ENA_oh15_02
T3_FFPE	ffpolish	0.98846911693743	0.200927305450066	ENA_oh15_03
T3_FFPE	gatk-obmm	0.536114012833933	0.00512081933109319	ENA_oh15_03
T3_FFPE	ideafix	0.985288549948616	0.277344735803609	ENA_oh15_03
T3_FFPE	mobsnvf	0.993363863602447	0.271127651560144	ENA_oh15_03
T3_FFPE	sobdetector	0.790614273988958	0.010528761852322	ENA_oh15_03
T3_FFPE	vafsnvf	0.972725619310554	0.158402362934711	ENA_oh15_03
T4_2007_FFPE	ffpolish	0.487780040733095	0.0000757367694773487	ENA_oh15_04
T4_2007_FFPE	gatk-obmm	0.579824741562213	0.0000814597588791142	ENA_oh15_04
T4_2007_FFPE	ideafix	0.214559699665388	0.0000519498511064508	ENA_oh15_04
T4_2007_FFPE	mobsnvf	0.995105086602314	0.00694444444444457	ENA_oh15_04
T4_2007_FFPE	sobdetector	0.474258916957624	0.0000650225298900914	ENA_oh15_04
T4_2007_FFPE	vafsnvf	0.382145546655713	0.0000553975699290018	ENA_oh15_04
T4_2009_FFPE	ffpolish	0.805590452261348	0.0999007339439675	ENA_oh15_05
T4_2009_FFPE	gatk-obmm	0.502761704366137	0.00211137503299027	ENA_oh15_05
T4_2009_FFPE	ideafix	0.977155289638292	0.0268500606828385	ENA_oh15_05
T4_2009_FFPE	mobsnvf	0.980898211467649	0.381644431219097	ENA_oh15_05
T4_2009_FFPE	sobdetector	0.70019068911103	0.00412300244553779	ENA_oh15_05
T4_2009_FFPE	vafsnvf	0.932420436612317	0.305410731001914	ENA_oh15_05
