sample_name	model	auroc	auprc	short_name
all-ffpe-wes-samples	ffpolish	0.900830902749441	0.984473038044231	
all-ffpe-wes-samples	gatk-obmm	0.500640714523178	0.894540753883093	
all-ffpe-wes-samples	ideafix-xgboost	0.849208597763675	0.88372167981788	
all-ffpe-wes-samples	mobsnvf	0.822746870972778	0.958847699403864	
all-ffpe-wes-samples	sobdetector	0.788368326527013	0.946564958807189	
all-ffpe-wes-samples	vafsnvf	0.878635178979597	0.982311285949548	
FFX_GZ_T_1h_1	ffpolish	0.782916523923718	0.985497817743384	SEQC2_WES_01
FFX_GZ_T_1h_1	gatk-obmm	0.499999999999998	0.952054794520543	SEQC2_WES_01
FFX_GZ_T_1h_1	ideafix-xgboost	0.630162703379229	0.864772452905012	SEQC2_WES_01
FFX_GZ_T_1h_1	mobsnvf	0.698986265533026	0.970048271382089	SEQC2_WES_01
FFX_GZ_T_1h_1	sobdetector	0.643230869849575	0.958491821018249	SEQC2_WES_01
FFX_GZ_T_1h_1	vafsnvf	0.802376280793543	0.987396248804353	SEQC2_WES_01
FFX_GZ_T_1h_3	ffpolish	0.747822299651567	0.982753056588583	SEQC2_WES_02
FFX_GZ_T_1h_3	gatk-obmm	0.500000000000004	0.95906432748538	SEQC2_WES_02
FFX_GZ_T_1h_3	ideafix-xgboost	0.541033434650457	0.890101775001757	SEQC2_WES_02
FFX_GZ_T_1h_3	mobsnvf	0.604397634885444	0.965880841330897	SEQC2_WES_02
FFX_GZ_T_1h_3	sobdetector	0.660522912047302	0.972393346307003	SEQC2_WES_02
FFX_GZ_T_1h_3	vafsnvf	0.813377679231334	0.989488094654766	SEQC2_WES_02
FFX_GZ_T_24h_1	ffpolish	0.81057252471595	0.986337388537056	SEQC2_WES_03
FFX_GZ_T_24h_1	gatk-obmm	0.5	0.948960302457472	SEQC2_WES_03
FFX_GZ_T_24h_1	ideafix-xgboost	0.780909090909085	0.938250093556127	SEQC2_WES_03
FFX_GZ_T_24h_1	mobsnvf	0.693440523619806	0.967291210827221	SEQC2_WES_03
FFX_GZ_T_24h_1	sobdetector	0.749288560045532	0.973681631817558	SEQC2_WES_03
FFX_GZ_T_24h_1	vafsnvf	0.861980648833248	0.991178462943454	SEQC2_WES_03
FFX_GZ_T_24h_2	ffpolish	0.811314246291827	0.984419293379616	SEQC2_WES_04
FFX_GZ_T_24h_2	gatk-obmm	0.5	0.944915254237303	SEQC2_WES_04
FFX_GZ_T_24h_2	ideafix-xgboost	0.736270753512133	0.865510994462423	SEQC2_WES_04
FFX_GZ_T_24h_2	mobsnvf	0.721292440743117	0.966867343935998	SEQC2_WES_04
FFX_GZ_T_24h_2	sobdetector	0.729099935938502	0.971194288973969	SEQC2_WES_04
FFX_GZ_T_24h_2	vafsnvf	0.851497437540036	0.988788287500835	SEQC2_WES_04
FFX_GZ_T_6h_3	ffpolish	0.859197626418993	0.993945872139137	SEQC2_WES_05
FFX_GZ_T_6h_3	gatk-obmm	0.500000000000001	0.964059196617342	SEQC2_WES_05
FFX_GZ_T_6h_3	ideafix-xgboost	0.518699186991869	0.83230070058066	SEQC2_WES_05
FFX_GZ_T_6h_3	mobsnvf	0.595151072124753	0.969143792926346	SEQC2_WES_05
FFX_GZ_T_6h_3	sobdetector	0.606420565302144	0.968581280254653	SEQC2_WES_05
FFX_GZ_T_6h_3	vafsnvf	0.885782163742682	0.995136822544867	SEQC2_WES_05
FFX_IL_T_1h_1	ffpolish	0.856211881985077	0.982483652201643	SEQC2_WES_06
FFX_IL_T_1h_1	gatk-obmm	0.504159019596232	0.921852931798222	SEQC2_WES_06
FFX_IL_T_1h_1	ideafix-xgboost	0.837212077813577	0.900739259982873	SEQC2_WES_06
FFX_IL_T_1h_1	mobsnvf	0.80257111443151	0.966699708247827	SEQC2_WES_06
FFX_IL_T_1h_1	sobdetector	0.757731668123257	0.95095672809585	SEQC2_WES_06
FFX_IL_T_1h_1	vafsnvf	0.866517718699787	0.986226603082015	SEQC2_WES_06
FFX_IL_T_24h_1	ffpolish	0.92395196464964	0.979381922123759	SEQC2_WES_07
FFX_IL_T_24h_1	gatk-obmm	0.500000000000002	0.809931506849316	SEQC2_WES_07
FFX_IL_T_24h_1	ideafix-xgboost	0.851537459935898	0.85050810301044	SEQC2_WES_07
FFX_IL_T_24h_1	mobsnvf	0.856569593658391	0.934081535846263	SEQC2_WES_07
FFX_IL_T_24h_1	sobdetector	0.79808732048072	0.899248668135052	SEQC2_WES_07
FFX_IL_T_24h_1	vafsnvf	0.897919159276209	0.972812399023112	SEQC2_WES_07
FFX_IL_T_2h_1	ffpolish	0.937806122051692	0.983279906302392	SEQC2_WES_08
FFX_IL_T_2h_1	gatk-obmm	0.50290697674419	0.814533622559655	SEQC2_WES_08
FFX_IL_T_2h_1	ideafix-xgboost	0.881852264667143	0.879842009896808	SEQC2_WES_08
FFX_IL_T_2h_1	mobsnvf	0.907804575759306	0.960208608890139	SEQC2_WES_08
FFX_IL_T_2h_1	sobdetector	0.861879594278881	0.930197118269147	SEQC2_WES_08
FFX_IL_T_2h_1	vafsnvf	0.884655108553196	0.966155551829143	SEQC2_WES_08
FFX_IL_T_6h_1	ffpolish	0.905414778766012	0.986019674844275	SEQC2_WES_09
FFX_IL_T_6h_1	gatk-obmm	0.498872604284095	0.897566156828375	SEQC2_WES_09
FFX_IL_T_6h_1	ideafix-xgboost	0.869992553983611	0.908495247801229	SEQC2_WES_09
FFX_IL_T_6h_1	mobsnvf	0.828647439385695	0.960012696618031	SEQC2_WES_09
FFX_IL_T_6h_1	sobdetector	0.76000665094625	0.93095161628832	SEQC2_WES_09
FFX_IL_T_6h_1	vafsnvf	0.885875808694602	0.984429284443112	SEQC2_WES_09
