sample_name	model	auroc	auprc	short_name
all-ffpe-wgs-samples	ffpolish	0.881301382974839	0.995045609644303	
all-ffpe-wgs-samples	gatk-obmm	0.522901935664505	0.96922232946369	
all-ffpe-wgs-samples	ideafix-xgboost	0.690488446579731	0.889474376444689	
all-ffpe-wgs-samples	mobsnvf	0.644730309026242	0.975823086939096	
all-ffpe-wgs-samples	sobdetector	0.647705123801332	0.974551560148351	
all-ffpe-wgs-samples	vafsnvf	0.893933281382683	0.994866125768965	
FFG_GZ_T_1h-A	ffpolish	0.883616243841726	0.994969321498861	SEQC2_WGS_01
FFG_GZ_T_1h-A	gatk-obmm	0.516933366997429	0.968600385502641	SEQC2_WGS_01
FFG_GZ_T_1h-A	ideafix-xgboost	0.687048884892892	0.881628476355243	SEQC2_WGS_01
FFG_GZ_T_1h-A	mobsnvf	0.613678437745062	0.973053158798978	SEQC2_WGS_01
FFG_GZ_T_1h-A	sobdetector	0.636131579084316	0.973531527281583	SEQC2_WGS_01
FFG_GZ_T_1h-A	vafsnvf	0.897367563985693	0.994992004099833	SEQC2_WGS_01
FFG_GZ_T_1h-B	ffpolish	0.851661500481632	0.994627616805935	SEQC2_WGS_02
FFG_GZ_T_1h-B	gatk-obmm	0.50201112834942	0.9741776436154	SEQC2_WGS_02
FFG_GZ_T_1h-B	ideafix-xgboost	0.647425064660987	0.895023523293842	SEQC2_WGS_02
FFG_GZ_T_1h-B	mobsnvf	0.665672998704989	0.982189022450718	SEQC2_WGS_02
FFG_GZ_T_1h-B	sobdetector	0.652767598784066	0.980480214051225	SEQC2_WGS_02
FFG_GZ_T_1h-B	vafsnvf	0.87861417332584	0.995416482367756	SEQC2_WGS_02
FFG_GZ_T_1h-E	ffpolish	0.873958466468102	0.996095234749847	SEQC2_WGS_03
FFG_GZ_T_1h-E	gatk-obmm	0.502723275939666	0.97526587116468	SEQC2_WGS_03
FFG_GZ_T_1h-E	ideafix-xgboost	0.643857647483497	0.900225600829403	SEQC2_WGS_03
FFG_GZ_T_1h-E	mobsnvf	0.566824798903686	0.977351013291529	SEQC2_WGS_03
FFG_GZ_T_1h-E	sobdetector	0.606944550603036	0.978305529230676	SEQC2_WGS_03
FFG_GZ_T_1h-E	vafsnvf	0.883699664602944	0.995674333648311	SEQC2_WGS_03
FFG_GZ_T_24h-F	ffpolish	0.883904948511324	0.995617902119554	SEQC2_WGS_04
FFG_GZ_T_24h-F	gatk-obmm	0.502189390391998	0.970800229558258	SEQC2_WGS_04
FFG_GZ_T_24h-F	ideafix-xgboost	0.673788417706856	0.893115555740813	SEQC2_WGS_04
