sample_name	model	auroc	auprc
all-colon-samples	gatk-obmm	0.499999999999988	0.186203028603485
all-colon-samples	microsec	0.813882338450987	0.400543009192329
all-colon-samples	mobsnvf	0.930406786807229	0.814923950078551
all-colon-samples	sobdetector	0.854525614518768	0.424069535840022
all-colon-samples	vafsnvf	0.31125712247747	0.127587431463812
all-liver-samples	gatk-obmm	0.510530029103065	0.0140988608460659
all-liver-samples	microsec	0.735682893847197	0.029297530800866
all-liver-samples	mobsnvf	0.859555148896129	0.359469634952508
all-liver-samples	sobdetector	0.786895522826901	0.0365268426087893
all-liver-samples	vafsnvf	0.333568132135046	0.00957993621920833
all-samples	gatk-obmm	0.513522812597635	0.0757915880912155
all-samples	microsec	0.789211220917023	0.170733901996348
all-samples	mobsnvf	0.924316189155864	0.727092985368248
all-samples	sobdetector	0.846486331476799	0.210141150434418
all-samples	vafsnvf	0.396344322879882	0.0553502143354641
FFPE-Colon-Tumoral_B00GXHK	gatk-obmm	0.500000000000001	0.0989010989010996
FFPE-Colon-Tumoral_B00GXHK	microsec	0.858686350021407	0.313414383847234
FFPE-Colon-Tumoral_B00GXHK	mobsnvf	0.961365223070509	0.733684071630077
FFPE-Colon-Tumoral_B00GXHK	sobdetector	0.840446216096502	0.260541007433105
FFPE-Colon-Tumoral_B00GXHK	vafsnvf	0.387565958598296	0.0737533717358629
FFPE-Colon-Tumoral_B00GXHL	gatk-obmm	0.500000000000003	0.177202072538861
FFPE-Colon-Tumoral_B00GXHL	microsec	0.854847025203631	0.445604865412614
FFPE-Colon-Tumoral_B00GXHL	mobsnvf	0.942654705613742	0.855807701991693
FFPE-Colon-Tumoral_B00GXHL	sobdetector	0.842270979716301	0.393040866129671
FFPE-Colon-Tumoral_B00GXHL	vafsnvf	0.296072988378118	0.119559040083115
FFPE-Colon-Tumoral_B00GXKT	gatk-obmm	0.499999999999999	0.316081330868762
FFPE-Colon-Tumoral_B00GXKT	microsec	0.726165639323532	0.465550890991056
FFPE-Colon-Tumoral_B00GXKT	mobsnvf	0.919211316579736	0.850134384075114
FFPE-Colon-Tumoral_B00GXKT	sobdetector	0.8627469574838	0.604181972566538
FFPE-Colon-Tumoral_B00GXKT	vafsnvf	0.389615931721195	0.244533818377425
FFPE-Colon-Tumoral_B00GXKU	gatk-obmm	0.499999999999997	0.314990512333966
FFPE-Colon-Tumoral_B00GXKU	microsec	0.759837132463375	0.497874140540086
FFPE-Colon-Tumoral_B00GXKU	mobsnvf	0.941135734072022	0.846359042602096
FFPE-Colon-Tumoral_B00GXKU	sobdetector	0.835663985582217	0.553097936186772
FFPE-Colon-Tumoral_B00GXKU	vafsnvf	0.306611487501252	0.223266248181578
FFPE-Colon-Tumoral_B00GXLQ	gatk-obmm	0.499999999999996	0.195273631840796
FFPE-Colon-Tumoral_B00GXLQ	microsec	0.779801927563756	0.379035500080523
FFPE-Colon-Tumoral_B00GXLQ	mobsnvf	0.912545900235289	0.827905137498552
FFPE-Colon-Tumoral_B00GXLQ	sobdetector	0.878562498154154	0.476853506944397
FFPE-Colon-Tumoral_B00GXLQ	vafsnvf	0.24664494149015	0.125410970358005
FFPE-Colon-Tumoral_B00GXLR	gatk-obmm	0.500000000000001	0.20434227330779
FFPE-Colon-Tumoral_B00GXLR	microsec	0.760082263242379	0.359732920331511
FFPE-Colon-Tumoral_B00GXLR	mobsnvf	0.932804975922952	0.851970377010526
FFPE-Colon-Tumoral_B00GXLR	sobdetector	0.868684791332266	0.470039038468887
FFPE-Colon-Tumoral_B00GXLR	vafsnvf	0.277034531502423	0.136037854933659
FFPE-Liver-Tumoral_B00GXCQ	gatk-obmm	0.533167495854062	0.0359589041095889
FFPE-Liver-Tumoral_B00GXCQ	microsec	0.730514096185738	0.0606936416184966
FFPE-Liver-Tumoral_B00GXCQ	mobsnvf	0.906933586038063	0.502041340607954
FFPE-Liver-Tumoral_B00GXCQ	sobdetector	0.803364131722331	0.0896076687681733
FFPE-Liver-Tumoral_B00GXCQ	vafsnvf	0.366809286110451	0.0257804669103635
FFPE-Liver-Tumoral_B00GXCR	gatk-obmm	0.535814606741573	0.0336257309941521
FFPE-Liver-Tumoral_B00GXCR	microsec	0.602711284807036	0.041012542426027
FFPE-Liver-Tumoral_B00GXCR	mobsnvf	0.800195407914022	0.396081817923181
FFPE-Liver-Tumoral_B00GXCR	sobdetector	0.706582804103559	0.0632559634966243
FFPE-Liver-Tumoral_B00GXCR	vafsnvf	0.399070506940622	0.0252791629256827
FFPE-Liver-Tumoral_B00GXDN	gatk-obmm	0.517366511145672	0.01010101010101
FFPE-Liver-Tumoral_B00GXDN	microsec	0.798586668849443	0.0273843500038299
FFPE-Liver-Tumoral_B00GXDN	mobsnvf	0.93799623475484	0.297535773717105
FFPE-Liver-Tumoral_B00GXDN	sobdetector	0.85503806171731	0.0331719847505869
FFPE-Liver-Tumoral_B00GXDN	vafsnvf	0.26812030075188	0.00614501477870943
FFPE-Liver-Tumoral_B00GXDO	gatk-obmm	0.520586946999569	0.00725623582766456
FFPE-Liver-Tumoral_B00GXDO	microsec	0.799961673236969	0.0205045403552632
FFPE-Liver-Tumoral_B00GXDO	mobsnvf	0.960085413929039	0.384257440708263
FFPE-Liver-Tumoral_B00GXDO	sobdetector	0.808051357862444	0.0196260530933583
FFPE-Liver-Tumoral_B00GXDO	vafsnvf	0.391920798595875	0.00569058881725787
FFPE-Liver-Tumoral_B00GXDP	gatk-obmm	0.488606711572315	0.00951421057933218
FFPE-Liver-Tumoral_B00GXDP	microsec	0.741155409915639	0.0228453506211715
FFPE-Liver-Tumoral_B00GXDP	mobsnvf	0.981446082893379	0.428825249948381
FFPE-Liver-Tumoral_B00GXDP	sobdetector	0.839932641543778	0.0298846769153968
FFPE-Liver-Tumoral_B00GXDP	vafsnvf	0.309304796599879	0.00637782423191898
FFPE-Liver-Tumoral_B00GXLY	gatk-obmm	0.499211863861552	0.0153066965483116
FFPE-Liver-Tumoral_B00GXLY	microsec	0.663787557099674	0.0247423237982274
FFPE-Liver-Tumoral_B00GXLY	mobsnvf	0.790018014540309	0.27933282247674
FFPE-Liver-Tumoral_B00GXLY	sobdetector	0.718538892105769	0.0316010389725934
FFPE-Liver-Tumoral_B00GXLY	vafsnvf	0.326090458089041	0.0105796894421287
FFPE-Liver-Tumoral_B00GXLZ	gatk-obmm	0.495722778019424	0.0170011966405406
FFPE-Liver-Tumoral_B00GXLZ	microsec	0.668841525300858	0.0279421733573913
FFPE-Liver-Tumoral_B00GXLZ	mobsnvf	0.762142960707554	0.377123865844903
FFPE-Liver-Tumoral_B00GXLZ	sobdetector	0.812358030061409	0.0524903149000603
FFPE-Liver-Tumoral_B00GXLZ	vafsnvf	0.25672407120743	0.0105939012872188
