sample_name	model	auroc	auprc
all-samples	gatk-obmm	0.501214091071146	0.00847870056668638
all-samples	microsec	0.572315746967459	0.0111669747315446
all-samples	mobsnvf	0.75963771241316	0.194105725007716
all-samples	sobdetector	0.661886631256568	0.0172174112722858
all-samples	vafsnvf	0.479147025417672	0.008121644399842
Sample_B83_0017	gatk-obmm	0.501090595060636	0.0124761976290075
Sample_B83_0017	microsec	0.556066548239667	0.0144714240213322
Sample_B83_0017	mobsnvf	0.782691741780513	0.240772913761305
Sample_B83_0017	sobdetector	0.67784157603471	0.0305373146102965
Sample_B83_0017	vafsnvf	0.475003545968454	0.0118011146468381
Sample_B83_0018	gatk-obmm	0.500296805932969	0.0190747559748031
Sample_B83_0018	microsec	0.600875755212879	0.0250869990243539
Sample_B83_0018	mobsnvf	0.826180260506615	0.295956905003708
Sample_B83_0018	sobdetector	0.742157058159014	0.0602906170196197
Sample_B83_0018	vafsnvf	0.317395633582633	0.0133440081074647
Sample_B83_0019	gatk-obmm	0.504538673180243	0.00719157298173237
Sample_B83_0019	microsec	0.556284785504919	0.00837849942566641
Sample_B83_0019	mobsnvf	0.779752053770279	0.248330532804058
Sample_B83_0019	sobdetector	0.666413714356122	0.0157960740691103
Sample_B83_0019	vafsnvf	0.492960489411009	0.0070272035640934
Sample_B83_0020	gatk-obmm	0.492666542770269	0.0102818121921429
Sample_B83_0020	microsec	0.592569905725356	0.0137223171567489
Sample_B83_0020	mobsnvf	0.830454319610793	0.331076843277131
Sample_B83_0020	sobdetector	0.729200133519332	0.0285221463179471
Sample_B83_0020	vafsnvf	0.343805363024307	0.00771681301048827
Sample_B83_0021	gatk-obmm	0.502216989575129	0.00933811086522637
Sample_B83_0021	microsec	0.549927639678242	0.0107052922716016
Sample_B83_0021	mobsnvf	0.763961670750285	0.18442429661511
Sample_B83_0021	sobdetector	0.639064806487182	0.0183907122707752
Sample_B83_0021	vafsnvf	0.539126512498992	0.0100590916017204
Sample_B83_0022	gatk-obmm	0.500496981820077	0.0115676318664662
Sample_B83_0022	microsec	0.556204823349084	0.0135217771180882
Sample_B83_0022	mobsnvf	0.795347327727956	0.256926897300078
Sample_B83_0022	sobdetector	0.642214252626542	0.0218188667866617
Sample_B83_0022	vafsnvf	0.560171149863761	0.0137568166966237
Sample_B83_0023	gatk-obmm	0.500920320759062	0.00567551630409758
Sample_B83_0023	microsec	0.571606100838054	0.00706603947690961
Sample_B83_0023	mobsnvf	0.683267494338414	0.190097443892383
Sample_B83_0023	sobdetector	0.649259692671716	0.0101627002087631
Sample_B83_0023	vafsnvf	0.50207875587207	0.00560719359906519
Sample_B83_0024	gatk-obmm	0.503022760470516	0.00341207783725127
Sample_B83_0024	microsec	0.555361790603431	0.0040160827535242
Sample_B83_0024	mobsnvf	0.655983420731916	0.0254109098057592
Sample_B83_0024	sobdetector	0.603290080154698	0.00491849994414204
Sample_B83_0024	vafsnvf	0.559235504602141	0.00390963232214418
Sample_B83_0025	gatk-obmm	0.501169440413741	0.00815390272418565
Sample_B83_0025	microsec	0.557451440091187	0.00964003584546749
Sample_B83_0025	mobsnvf	0.672317314007351	0.187828375031817
Sample_B83_0025	sobdetector	0.613943780262537	0.0128677383974297
Sample_B83_0025	vafsnvf	0.521750856534944	0.00853571217397969
Sample_B83_0026	gatk-obmm	0.502509893786161	0.00895331224285258
Sample_B83_0026	microsec	0.536333485343421	0.00979671257668352
Sample_B83_0026	mobsnvf	0.769158298474806	0.210492944903612
Sample_B83_0026	sobdetector	0.68353307421598	0.0283868448664632
Sample_B83_0026	vafsnvf	0.494052874516518	0.00867714218210267
Sample_B83_0027	gatk-obmm	0.501513432198104	0.00470398763264502
Sample_B83_0027	mobsnvf	0.640097434966668	0.137901190786964
Sample_B83_0027	sobdetector	0.630388472667571	0.00778569087790463
Sample_B83_0027	vafsnvf	0.546501280634627	0.0052108713041644
Sample_B83_0031	gatk-obmm	0.516209843796376	0.0077574047954841
Sample_B83_0031	microsec	0.555679420622503	0.00876805277761923
Sample_B83_0031	mobsnvf	0.662912474215135	0.123695572988145
Sample_B83_0031	sobdetector	0.625513836241361	0.0153648779334076
Sample_B83_0031	vafsnvf	0.485834563107437	0.00716490455101033
Sample_B83_0032	gatk-obmm	0.500954663086105	0.0116756391909665
Sample_B83_0032	microsec	0.549389933638866	0.0133791187651645
Sample_B83_0032	mobsnvf	0.740496082268757	0.239901576662224
Sample_B83_0032	sobdetector	0.640826638745101	0.0245808802291078
Sample_B83_0032	vafsnvf	0.492941376093651	0.0115457246269911
