"sample_id"	"variant_caller"	"model"	"auroc"	"auprc"
"011b9b2d-ebe5-42bf-9662-d922faccc7a1_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.959200454259075	0.145565265002847
"011b9b2d-ebe5-42bf-9662-d922faccc7a1_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.124249495009045	0.00234536758411299
"011b9b2d-ebe5-42bf-9662-d922faccc7a1_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.925882105167731	0.0331780671565539
"011b9b2d-ebe5-42bf-9662-d922faccc7a1_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999887	0.00417754569190554
"011b9b2d-ebe5-42bf-9662-d922faccc7a1_mutect2-tumor-only"	"MuTect2"	"gatk"	0.511838973821095	0.00427842685535459
"30f276a8-3a4b-4de8-aea0-7f605d100401_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.983737643423986	0.113919882608417
"30f276a8-3a4b-4de8-aea0-7f605d100401_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0383612791977119	0.000508267312543911
"30f276a8-3a4b-4de8-aea0-7f605d100401_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.871219224270069	0.00394762702544828
"30f276a8-3a4b-4de8-aea0-7f605d100401_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999808	0.000987153662472994
"30f276a8-3a4b-4de8-aea0-7f605d100401_mutect2-tumor-only"	"MuTect2"	"gatk"	0.488916749943073	0.000965483608536392
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.858895317185938	0.0418042590336803
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.114349899225139	0.000399682965811231
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.739723962041086	0.00190617458615864
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999912	0.000755100559065224
"3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a_mutect2-tumor-only"	"MuTect2"	"gatk"	0.499999999999912	0.000755100559065224
"418a004e-d5a9-461b-8764-4b581b6b8223_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.98498522085888	0.243148570146084
"418a004e-d5a9-461b-8764-4b581b6b8223_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.974157304035106	0.0708064679260606
"418a004e-d5a9-461b-8764-4b581b6b8223_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.0855935623708001	0.000410218239091326
"418a004e-d5a9-461b-8764-4b581b6b8223_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000001348	0.00079097208301873
"418a004e-d5a9-461b-8764-4b581b6b8223_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500027109527976	0.000791014937177224
"49929108-023e-4d35-b26d-50ab4d3ae581_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.95565555663582	0.208773420072119
"49929108-023e-4d35-b26d-50ab4d3ae581_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0541384291105996	0.00106602721337974
"49929108-023e-4d35-b26d-50ab4d3ae581_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.903680738034366	0.022525676973684
"49929108-023e-4d35-b26d-50ab4d3ae581_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999772	0.00205963885074523
"49929108-023e-4d35-b26d-50ab4d3ae581_mutect2-tumor-only"	"MuTect2"	"gatk"	0.498617297569507	0.00205393470416768
"4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.883280950121439	0.424774219218856
"4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.228833328510271	0.0162542355633951
"4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.767072331474808	0.0631903436217076
"4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999394	0.0267819862808894
"4c6c8d3d-e4a3-490a-9211-cfbe7e6ee25b_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500625153223488	0.0268146148608532
"556fcbc8-172a-4af1-8822-ae036e8d68e8_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.972420420846269	0.17160345140463
"556fcbc8-172a-4af1-8822-ae036e8d68e8_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0483451273025378	0.00126658873732926
"556fcbc8-172a-4af1-8822-ae036e8d68e8_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.903718867537397	0.0152383591901644
"556fcbc8-172a-4af1-8822-ae036e8d68e8_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000252	0.00246281723202687
"556fcbc8-172a-4af1-8822-ae036e8d68e8_mutect2-tumor-only"	"MuTect2"	"gatk"	0.498032220440622	0.00245314877984034
"67c5f371-3fa9-47c5-8b15-c2dd9acc8519_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.957539057532531	0.0282062096854832
"67c5f371-3fa9-47c5-8b15-c2dd9acc8519_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0980776944072108	0.000254394032652446
"67c5f371-3fa9-47c5-8b15-c2dd9acc8519_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.79027049236463	0.00132130104511169
"67c5f371-3fa9-47c5-8b15-c2dd9acc8519_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999808	0.000479123887747353
"67c5f371-3fa9-47c5-8b15-c2dd9acc8519_mutect2-tumor-only"	"MuTect2"	"gatk"	0.499999999999808	0.000479123887747353
"68b86559-38b2-41f2-b66e-c3c2b628b14d_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.921088561432643	0.393203349216892
"68b86559-38b2-41f2-b66e-c3c2b628b14d_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0963572550996204	0.00962426798999739
"68b86559-38b2-41f2-b66e-c3c2b628b14d_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.87793969402264	0.0816837770419139
"68b86559-38b2-41f2-b66e-c3c2b628b14d_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000008	0.0174963314143792
"68b86559-38b2-41f2-b66e-c3c2b628b14d_mutect2-tumor-only"	"MuTect2"	"gatk"	0.508187929909852	0.0177853219062911
"6cb6f179-defd-4661-af0a-c353b74c0c49_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.936102070116858	0.0658596846498539
"6cb6f179-defd-4661-af0a-c353b74c0c49_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.107627528494507	0.00114295844476342
"6cb6f179-defd-4661-af0a-c353b74c0c49_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.904506595167842	0.0150891866369806
"6cb6f179-defd-4661-af0a-c353b74c0c49_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000081	0.00208629261363681
"6cb6f179-defd-4661-af0a-c353b74c0c49_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500949264958365	0.00209029561542155
"6cd8d2dd-5545-43b0-b796-ae0506d62eb8_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.892328240697323	0.168208139341539
"6cd8d2dd-5545-43b0-b796-ae0506d62eb8_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.148234782256286	0.00250926232417466
"6cd8d2dd-5545-43b0-b796-ae0506d62eb8_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.818833760183048	0.0232399323701249
"6cd8d2dd-5545-43b0-b796-ae0506d62eb8_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000058	0.00460270564453615
"6cd8d2dd-5545-43b0-b796-ae0506d62eb8_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500000000000058	0.00460270564453615
"6cd9baf5-bbe0-4c1e-a87f-c53b3af22890_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.946707947696467	0.0628559654205297
"6cd9baf5-bbe0-4c1e-a87f-c53b3af22890_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.102542941602717	0.000346724713351929
"6cd9baf5-bbe0-4c1e-a87f-c53b3af22890_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.796693743618292	0.00206819466778341
"6cd9baf5-bbe0-4c1e-a87f-c53b3af22890_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999492	0.000658306178203203
"6cd9baf5-bbe0-4c1e-a87f-c53b3af22890_mutect2-tumor-only"	"MuTect2"	"gatk"	0.499999999999492	0.000658306178203203
"6e3b6b72-142d-4b8d-a462-28a205796e41_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.948645313852679	0.529096186970339
"6e3b6b72-142d-4b8d-a462-28a205796e41_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.115334597363629	0.015360385439888
"6e3b6b72-142d-4b8d-a462-28a205796e41_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.876420411115556	0.118772606726055
"6e3b6b72-142d-4b8d-a462-28a205796e41_mutect2-tumor-only"	"MuTect2"	"microsec"	0.50000000000002	0.0272869604115374
"6e3b6b72-142d-4b8d-a462-28a205796e41_mutect2-tumor-only"	"MuTect2"	"gatk"	0.518550524145424	0.028313054818067
"7099597a-b208-45b5-b9e0-11ab40d5e497_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.982600217748271	0.38871073909238
"7099597a-b208-45b5-b9e0-11ab40d5e497_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0561435242200326	0.00390371004002322
"7099597a-b208-45b5-b9e0-11ab40d5e497_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.899677114567377	0.0400912552185741
"7099597a-b208-45b5-b9e0-11ab40d5e497_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999912	0.00744926791677238
"7099597a-b208-45b5-b9e0-11ab40d5e497_mutect2-tumor-only"	"MuTect2"	"gatk"	0.506437629399549	0.00754569700123539
"7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.944521866381099	0.144348097173222
"7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0455355434231709	0.000356706550547213
"7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.86495736477604	0.00487354161068367
"7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999744	0.000703056891362769
"7d35b1e4-8dcf-4caa-adce-e4b72a2a10ca_mutect2-tumor-only"	"MuTect2"	"gatk"	0.50010553272881	0.000703205209343908
"86b165c2-d0e6-4a4f-84ed-aa95e3133627_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.946233592936202	0.11802167419513
"86b165c2-d0e6-4a4f-84ed-aa95e3133627_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0799892696999112	0.000496239208131198
"86b165c2-d0e6-4a4f-84ed-aa95e3133627_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.891849280410402	0.0055581993895007
"86b165c2-d0e6-4a4f-84ed-aa95e3133627_mutect2-tumor-only"	"MuTect2"	"microsec"	0.50000000000037	0.000946816721408767
"86b165c2-d0e6-4a4f-84ed-aa95e3133627_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500141483375121	0.000947084461080397
"8785012f-f73e-4d68-87cf-1d804af32782_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.91369143443176	0.0582931552046819
"8785012f-f73e-4d68-87cf-1d804af32782_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.25499192271622	0.00233016063194792
"8785012f-f73e-4d68-87cf-1d804af32782_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.865790826759122	0.0177270096174497
"8785012f-f73e-4d68-87cf-1d804af32782_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999968	0.00363571555872385
"8785012f-f73e-4d68-87cf-1d804af32782_mutect2-tumor-only"	"MuTect2"	"gatk"	0.513021858118897	0.00373257218135986
"889aec8e-14ba-48d9-8fe1-f2416e82b333_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.927001750821947	0.312984093015066
"889aec8e-14ba-48d9-8fe1-f2416e82b333_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.12302921155097	0.00803562555931436
"889aec8e-14ba-48d9-8fe1-f2416e82b333_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.904846390990364	0.0859821444599687
"889aec8e-14ba-48d9-8fe1-f2416e82b333_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000016	0.0142678347934909
"889aec8e-14ba-48d9-8fe1-f2416e82b333_mutect2-tumor-only"	"MuTect2"	"gatk"	0.519668903085599	0.0148488692669854
"8c7e74e0-71ef-49b8-9217-94b8ef740ef9_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.859169930992766	0.0187129755909789
"8c7e74e0-71ef-49b8-9217-94b8ef740ef9_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.369675591590873	0.000636925511989944
"8c7e74e0-71ef-49b8-9217-94b8ef740ef9_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.787052933151405	0.00364895329056737
"8c7e74e0-71ef-49b8-9217-94b8ef740ef9_mutect2-tumor-only"	"MuTect2"	"microsec"	0.50000000000021	0.000892788817183592
"8c7e74e0-71ef-49b8-9217-94b8ef740ef9_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500019148284872	0.000892822978711865
"91e249a6-b0b0-487e-9fad-0e9f5798dcae_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.98966053957901	0.0193297751139785
"91e249a6-b0b0-487e-9fad-0e9f5798dcae_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.128512315290152	0.000201777421150438
"91e249a6-b0b0-487e-9fad-0e9f5798dcae_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.810316932450121	0.00100103849999576
"91e249a6-b0b0-487e-9fad-0e9f5798dcae_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000522	0.000351936577324588
"91e249a6-b0b0-487e-9fad-0e9f5798dcae_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500018529499466	0.000351949615634254
"95cef916-5545-455b-920c-773a54fc7676_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.963353291250131	0.0242348494444816
"95cef916-5545-455b-920c-773a54fc7676_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0610353282219307	0.000307655795533683
"95cef916-5545-455b-920c-773a54fc7676_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.82545966423803	0.00204826783833579
"95cef916-5545-455b-920c-773a54fc7676_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999915	0.000589659892597413
"95cef916-5545-455b-920c-773a54fc7676_mutect2-tumor-only"	"MuTect2"	"gatk"	0.499999999999915	0.000589659892597413
"a6003b1c-56a9-430a-a5e2-b70af3f81bdb_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.91253712975214	0.0507613123224383
"a6003b1c-56a9-430a-a5e2-b70af3f81bdb_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0938846445515094	0.00156449805732972
"a6003b1c-56a9-430a-a5e2-b70af3f81bdb_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.887576719513702	0.0187096317720161
"a6003b1c-56a9-430a-a5e2-b70af3f81bdb_mutect2-tumor-only"	"MuTect2"	"microsec"	0.49999999999988	0.00293614969980927
"a6003b1c-56a9-430a-a5e2-b70af3f81bdb_mutect2-tumor-only"	"MuTect2"	"gatk"	0.499872735478809	0.00293540195539107
"ab7adf74-6e87-4117-9742-54e323348e06_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.907073904598297	0.0615614104676535
"ab7adf74-6e87-4117-9742-54e323348e06_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.105147118915199	0.00110449610675822
"ab7adf74-6e87-4117-9742-54e323348e06_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.876701532191037	0.0132098204631521
"ab7adf74-6e87-4117-9742-54e323348e06_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000129	0.00208418551198796
"ab7adf74-6e87-4117-9742-54e323348e06_mutect2-tumor-only"	"MuTect2"	"gatk"	0.492293805857614	0.00205232459633966
"b2ecbc0f-2c30-4200-8d5e-7b95424bcadb_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.855103286042972	0.046250694921852
"b2ecbc0f-2c30-4200-8d5e-7b95424bcadb_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.104525950052868	0.000513687352994066
"b2ecbc0f-2c30-4200-8d5e-7b95424bcadb_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.822902116033074	0.00344105779272153
"b2ecbc0f-2c30-4200-8d5e-7b95424bcadb_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000533	0.000972222222222213
"b2ecbc0f-2c30-4200-8d5e-7b95424bcadb_mutect2-tumor-only"	"MuTect2"	"gatk"	0.500000000000533	0.000972222222222213
"bbe88801-34f3-46d2-bbfd-b46c3901ed71_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.953497635051128	0.16337417851018
"bbe88801-34f3-46d2-bbfd-b46c3901ed71_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.0396241086058038	0.00130209435656006
"bbe88801-34f3-46d2-bbfd-b46c3901ed71_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.894627824365942	0.0136897862266266
"bbe88801-34f3-46d2-bbfd-b46c3901ed71_mutect2-tumor-only"	"MuTect2"	"microsec"	0.500000000000444	0.00251713376096011
"bbe88801-34f3-46d2-bbfd-b46c3901ed71_mutect2-tumor-only"	"MuTect2"	"gatk"	0.50126960418061	0.00252352538854698
"ccda26c1-a6d6-4317-8cf8-8a87e15ce12e_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.910259930356253	0.375295268780613
"ccda26c1-a6d6-4317-8cf8-8a87e15ce12e_mutect2-tumor-only"	"MuTect2"	"vafsnvf"	0.134331362505542	0.019350844947544
"ccda26c1-a6d6-4317-8cf8-8a87e15ce12e_mutect2-tumor-only"	"MuTect2"	"sobdetector"	0.890268890913188	0.145208294342859
"ccda26c1-a6d6-4317-8cf8-8a87e15ce12e_mutect2-tumor-only"	"MuTect2"	"microsec"	0.499999999999966	0.0337332637802109
"ccda26c1-a6d6-4317-8cf8-8a87e15ce12e_mutect2-tumor-only"	"MuTect2"	"gatk"	0.521028553194749	0.0351701453544699
"d976782c-90c1-421d-b83c-7fc2617e2709_mutect2-tumor-only"	"MuTect2"	"mobsnvf"	0.971290229675258	0.400743086580831
