sample	cutoff	precision	recall	specificity	1-PPV	TP	TN	FP	FN	log(q-cut)	log(1-PPV)
FFPE-Colon-Tumoral_B00GXLQ	3.0538555088334123e-16	0.9274193548387096	0.8518518518518519	0.7272727272727273	0.07258064516129037	115	24	9	20	-35.724956594331864	-2.623056988268817
FFPE-Colon-Tumoral_B00GXLQ	4.4306214575838864e-16	0.9274193548387096	0.8518518518518519	0.7272727272727273	0.07258064516129037	115	24	9	20	-35.35282162980757	-2.623056988268817
FFPE-Colon-Tumoral_B00GXLQ	6.428073117284319e-16	0.928	0.8592592592592593	0.7272727272727273	0.07199999999999995	116	24	9	19	-34.98068666528328	-2.6310891599660824
FFPE-Colon-Tumoral_B00GXLQ	9.32603346883218e-16	0.928	0.8592592592592593	0.7272727272727273	0.07199999999999995	116	24	9	19	-34.608551700758994	-2.6310891599660824
FFPE-Colon-Tumoral_B00GXLQ	1.3530477745798075e-15	0.928	0.8592592592592593	0.7272727272727273	0.07199999999999995	116	24	9	19	-34.2364167362347	-2.6310891599660824
FFPE-Colon-Tumoral_B00GXLQ	1.9630406500402685e-15	0.9285714285714286	0.8666666666666667	0.7272727272727273	0.0714285714285714	117	24	9	18	-33.86428177171041	-2.639057329615259
FFPE-Colon-Tumoral_B00GXLQ	2.8480358684358048e-15	0.9285714285714286	0.8666666666666667	0.7272727272727273	0.0714285714285714	117	24	9	18	-33.49214680718612	-2.639057329615259
FFPE-Colon-Tumoral_B00GXLQ	4.132012400115334e-15	0.9285714285714286	0.8666666666666667	0.7272727272727273	0.0714285714285714	117	24	9	18	-33.12001184266183	-2.639057329615259
FFPE-Colon-Tumoral_B00GXLQ	5.994842503189421e-15	0.9224806201550387	0.8814814814814815	0.696969696969697	0.07751937984496127	119	23	10	16	-32.74787687813754	-2.557227311367626
FFPE-Colon-Tumoral_B00GXLQ	8.697490026177834e-15	0.9224806201550387	0.8814814814814815	0.696969696969697	0.07751937984496127	119	23	10	16	-32.37574191361325	-2.557227311367626
FFPE-Colon-Tumoral_B00GXLQ	1.2618568830660185e-14	0.9224806201550387	0.8814814814814815	0.696969696969697	0.07751937984496127	119	23	10	16	-32.00360694908896	-2.557227311367626
FFPE-Colon-Tumoral_B00GXLQ	1.8307382802953698e-14	0.9224806201550387	0.8814814814814815	0.696969696969697	0.07751937984496127	119	23	10	16	-31.631471984564666	-2.557227311367626
FFPE-Colon-Tumoral_B00GXLQ	2.6560877829466838e-14	0.9224806201550387	0.8814814814814815	0.696969696969697	0.07751937984496127	119	23	10	16	-31.25933702004038	-2.557227311367626
