ffpe_sample_name	matched_ff_sample_name	sample_type	n_ct	dataset_id
BGI-FFPE1_SRR1523243	BGI-FROZ1_SRR1523230	FFPE	119580	SRP044740
BGI-FFPE1_SRR1523257	BGI-FROZ1_SRR1523230	FFPE	122236	SRP044740
BGI-FFPE1_SRR1523263	BGI-FROZ1_SRR1523230	FFPE	40398	SRP044740
BGI-FFPE2_SRR1523244	BGI-FROZ2_SRR1523231	FFPE	156922	SRP044740
BGI-FFPE2_SRR1523264	BGI-FROZ2_SRR1523231	FFPE	100957	SRP044740
BGI-FFPE3_SRR1523251	BGI-FROZ3_SRR1523240	FFPE	153800	SRP044740
BGI-FFPE3_SRR1523269	BGI-FROZ3_SRR1523240	FFPE	106740	SRP044740
BGI-FFPE4_SRR1523253	BGI-FROZ4_SRR1523239	FFPE	73709	SRP044740
BGI-FFPE4_SRR1523268	BGI-FROZ4_SRR1523239	FFPE	188948	SRP044740
BGI-FFPE5_SRR1523252	BGI-FROZ5_SRR1523238	FFPE	220530	SRP044740
BGI-FFPE5_SRR1523261	BGI-FROZ5_SRR1523238	FFPE	225441	SRP044740
BGI-FFPE6_SRR1523256	BGI-FROZ6_SRR1523242	FFPE	180872	SRP044740
BGI-FFPE6_SRR1523254	BGI-FROZ6_SRR1523242	FFPE	174258	SRP044740
BGI-FFPE7_SRR1523247	BGI-FROZ7_SRR1523234	FFPE	147347	SRP044740
BGI-FFPE7_SRR1523266	BGI-FROZ7_SRR1523234	FFPE	252996	SRP044740
BGI-FFPE8_SRR1523245	BGI-FROZ8_SRR1523232	FFPE	114608	SRP044740
BGI-FFPE8_SRR1523262	BGI-FROZ8_SRR1523232	FFPE	117002	SRP044740
BGI-FFPE9_SRR1523255	BGI-FROZ9_SRR1523241	FFPE	109231	SRP044740
BGI-FFPE10_SRR1523246	BGI-FROZ10_SRR1523233	FFPE	109147	SRP044740
BGI-FFPE10_SRR1523260	BGI-FROZ10_SRR1523233	FFPE	117146	SRP044740
BGI-FFPE10_SRR1523265	BGI-FROZ10_SRR1523233	FFPE	126399	SRP044740
BGI-FFPE11_SRR1523258	BGI-FROZ11_SRR1523236	FFPE	112836	SRP044740
BGI-FFPE11_SRR1523250	BGI-FROZ11_SRR1523236	FFPE	120519	SRP044740
BGI-FFPE12_SRR1523248	BGI-FROZ12_SRR1523235	FFPE	84414	SRP044740
BGI-FFPE12_SRR1523259	BGI-FROZ12_SRR1523235	FFPE	72266	SRP044740
BGI-FFPE13_SRR1523267	BGI-FROZ13_SRR1523237	FFPE	398293	SRP044740
BGI-FFPE13_SRR1523249	BGI-FROZ13_SRR1523237	FFPE	178746	SRP044740
BGI-FFPE1_SRR1523243	BGI-FROZ1_SRR1523230	Fresh Frozen	41919	SRP044740
BGI-FFPE1_SRR1523257	BGI-FROZ1_SRR1523230	Fresh Frozen	41919	SRP044740
BGI-FFPE1_SRR1523263	BGI-FROZ1_SRR1523230	Fresh Frozen	41919	SRP044740
BGI-FFPE2_SRR1523244	BGI-FROZ2_SRR1523231	Fresh Frozen	37357	SRP044740
BGI-FFPE2_SRR1523264	BGI-FROZ2_SRR1523231	Fresh Frozen	37357	SRP044740
BGI-FFPE3_SRR1523251	BGI-FROZ3_SRR1523240	Fresh Frozen	44067	SRP044740
BGI-FFPE3_SRR1523269	BGI-FROZ3_SRR1523240	Fresh Frozen	44067	SRP044740
BGI-FFPE4_SRR1523253	BGI-FROZ4_SRR1523239	Fresh Frozen	39576	SRP044740
BGI-FFPE4_SRR1523268	BGI-FROZ4_SRR1523239	Fresh Frozen	39576	SRP044740
BGI-FFPE5_SRR1523252	BGI-FROZ5_SRR1523238	Fresh Frozen	52125	SRP044740
BGI-FFPE5_SRR1523261	BGI-FROZ5_SRR1523238	Fresh Frozen	52125	SRP044740
BGI-FFPE6_SRR1523256	BGI-FROZ6_SRR1523242	Fresh Frozen	44106	SRP044740
BGI-FFPE6_SRR1523254	BGI-FROZ6_SRR1523242	Fresh Frozen	44106	SRP044740
BGI-FFPE7_SRR1523247	BGI-FROZ7_SRR1523234	Fresh Frozen	32873	SRP044740
BGI-FFPE7_SRR1523266	BGI-FROZ7_SRR1523234	Fresh Frozen	32873	SRP044740
BGI-FFPE8_SRR1523245	BGI-FROZ8_SRR1523232	Fresh Frozen	37462	SRP044740
BGI-FFPE8_SRR1523262	BGI-FROZ8_SRR1523232	Fresh Frozen	37462	SRP044740
BGI-FFPE9_SRR1523255	BGI-FROZ9_SRR1523241	Fresh Frozen	45128	SRP044740
BGI-FFPE10_SRR1523246	BGI-FROZ10_SRR1523233	Fresh Frozen	26658	SRP044740
BGI-FFPE10_SRR1523260	BGI-FROZ10_SRR1523233	Fresh Frozen	26658	SRP044740
BGI-FFPE10_SRR1523265	BGI-FROZ10_SRR1523233	Fresh Frozen	26658	SRP044740
BGI-FFPE11_SRR1523258	BGI-FROZ11_SRR1523236	Fresh Frozen	38525	SRP044740
BGI-FFPE11_SRR1523250	BGI-FROZ11_SRR1523236	Fresh Frozen	38525	SRP044740
BGI-FFPE12_SRR1523248	BGI-FROZ12_SRR1523235	Fresh Frozen	33913	SRP044740
BGI-FFPE12_SRR1523259	BGI-FROZ12_SRR1523235	Fresh Frozen	33913	SRP044740
BGI-FFPE13_SRR1523267	BGI-FROZ13_SRR1523237	Fresh Frozen	45755	SRP044740
BGI-FFPE13_SRR1523249	BGI-FROZ13_SRR1523237	Fresh Frozen	45755	SRP044740
