sample_name	ct_artifact_out_of_ct_snv	ct_artifact_out_of_all_snv	dataset
BGI-FFPE10_SRR1523246	0.999065480498777	0.825391899358882	SRP044740
BGI-FFPE10_SRR1523260	0.999163437078517	0.830716820440028	SRP044740
BGI-FFPE10_SRR1523265	0.998465177730836	0.680335734000345	SRP044740
BGI-FFPE11_SRR1523250	0.998896439565546	0.868435480147738	SRP044740
BGI-FFPE11_SRR1523258	0.999042858662129	0.842183904611063	SRP044740
BGI-FFPE12_SRR1523248	0.998009808799488	0.776403583145943	SRP044740
BGI-FFPE12_SRR1523259	0.998035037223591	0.77435286286383	SRP044740
BGI-FFPE13_SRR1523249	0.998976200866033	0.870605844896686	SRP044740
BGI-FFPE13_SRR1523267	0.99890030706038	0.698832278847877	SRP044740
BGI-FFPE1_SRR1523243	0.998963037297207	0.851438713034305	SRP044740
BGI-FFPE1_SRR1523257	0.99910010144311	0.847038424191982	SRP044740
BGI-FFPE1_SRR1523263	0.998985098272192	0.754491577707566	SRP044740
BGI-FFPE2_SRR1523244	0.999477447394247	0.895849754960759	SRP044740
BGI-FFPE2_SRR1523264	0.999207583426607	0.788828764016828	SRP044740
BGI-FFPE3_SRR1523251	0.999206762028609	0.881196350854659	SRP044740
BGI-FFPE3_SRR1523269	0.998800824433202	0.799645975218265	SRP044740
BGI-FFPE4_SRR1523253	0.998901083992457	0.862882055128446	SRP044740
BGI-FFPE4_SRR1523268	0.999280225247158	0.776180022856391	SRP044740
BGI-FFPE5_SRR1523252	0.999292613249898	0.898572471243512	SRP044740
BGI-FFPE5_SRR1523261	0.999312458692075	0.897053436330334	SRP044740
BGI-FFPE6_SRR1523254	0.999219548026489	0.879106564950244	SRP044740
BGI-FFPE6_SRR1523256	0.999231500729798	0.877229683488086	SRP044740
BGI-FFPE7_SRR1523247	0.999382410228915	0.905410723069356	SRP044740
BGI-FFPE7_SRR1523266	0.999339910512419	0.760600709371343	SRP044740
BGI-FFPE8_SRR1523245	0.999022755828563	0.861837697872052	SRP044740
BGI-FFPE8_SRR1523262	0.999059845130852	0.860100805709871	SRP044740
BGI-FFPE9_SRR1523255	0.99809577867089	0.820919235576706	SRP044740
