sample_name	ct_artifact_out_of_ct_snv	ct_artifact_out_of_all_snv	dataset
FFPE-Colon-Tumoral_B00GXHK	0.901098901098901	0.361484918793503	EGAD00001004066
FFPE-Colon-Tumoral_B00GXHL	0.82279792746114	0.358788974243109	EGAD00001004066
FFPE-Colon-Tumoral_B00GXKT	0.683918669131238	0.33423667570009	EGAD00001004066
FFPE-Colon-Tumoral_B00GXKU	0.685009487666034	0.326696832579186	EGAD00001004066
FFPE-Colon-Tumoral_B00GXLQ	0.804726368159204	0.334712881531299	EGAD00001004066
FFPE-Colon-Tumoral_B00GXLR	0.795657726692209	0.340437158469945	EGAD00001004066
FFPE-Liver-Tumoral_B00GXCQ	0.966346153846154	0.461715160796325	EGAD00001004066
FFPE-Liver-Tumoral_B00GXCR	0.968707482993197	0.498948843728101	EGAD00001004066
FFPE-Liver-Tumoral_B00GXDN	0.990246406570842	0.403134796238244	EGAD00001004066
FFPE-Liver-Tumoral_B00GXDO	0.993040452370596	0.420984694818366	EGAD00001004066
FFPE-Liver-Tumoral_B00GXDP	0.990265008112493	0.42760392340028	EGAD00001004066
FFPE-Liver-Tumoral_B00GXLY	0.984668989547038	0.439912826899128	EGAD00001004066
FFPE-Liver-Tumoral_B00GXLZ	0.982851985559567	0.455077308817384	EGAD00001004066
